"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1952-07",,"780","10","8","0","0","0","0","0","14","62","0","0.0","0.93","97","0","3.32",,"0.0","80.3","89.1","71.4",,,,,,,"615.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1952-08",,"1089","11","7","0","0","0","0","0","1","54","0","0.0","1.18","90","0","4.63",,"0.0","74.9","82.6","67.3",,,,,,,"615.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1952-09",,"1247","8","5","0","0","0","0","0","3","52","0","0.0","1.17","94","12","2.05",,"0.0","69.9","78.7","61.0",,,,,,,"439.3",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1952-10",,"1258","5","1","0","0","0","0","0","0","33","0","0.5","0.78","80","311","0.94",,"0.5","55.7","64.6","46.8",,,,,,,"774.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1952-11",,"1258","9","5","1","1","0","2","0","0","28","2","1.7","1.13","73","805","3.06",,"1.7","48.5","54.4","42.6",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1952-12",,"1258","9","6","2","3","0","12","1","0","12","4","3.0","1.26","59","1630","4.13",,"7.5","38.4","43.6","33.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-01",,"0","17","10","4","2","0","19","0","0","21","3","2.0","1.30","57","2478","4.90",,"4.1","37.6","43.4","31.8",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-02",,"0","8","4","0","0","0","16","1","0","14","0","0.3","1.30","67","3222","2.38",,"0.4","38.4","45.5","31.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-03",,"0","14","9","1","0","0","9","0","0","18","1","0.6","2.61","67","3893","8.77",,"0.9","43.4","49.5","37.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-04",,"3","12","10","0","0","0","0","0","0","35","0","0.0","1.32","77","4277","5.20",,"0.0","52.3","59.6","45.0",,,,,,,"910.3",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-05",,"61","15","12","0","0","0","0","0","1","44","0","0.0","0.65","90","4385","4.35",,"0.0","63.4","71.5","55.2",,,,,,,"520.7",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-06",,"332","6","5","0","0","0","0","0","8","51","0","0.0","0.44","97","4399","1.82",,"0.0","73.6","83.8","63.4",,,,,,,"578.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-07",,"729","8","5","0","0","0","0","0","11","57","0","0.0","2.41","101","0","3.86",,"0.0","77.8","87.3","68.3",,,,,,,"598.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-08",,"1063","6","5","0","0","0","0","0","8","59","0","0.0","0.92","100","0","2.11",,"0.0","75.8","84.7","66.8",,,,,,,"720.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-09",,"1254","9","4","0","0","0","0","0","4","49","0","0.0","0.35","102","29","1.10",,"0.0","70.4","79.1","61.7",,,,,,,"1010.3",,,,,
